Date,Open,High,Low,Close,Adj Close,Volume
2023-08-16,106740.0,106770.0,106740.0,106760.0,106760.0,810037
2023-08-17,106770.0,106810.0,106770.0,106785.0,106785.0,132566
2023-08-18,106775.0,106810.0,106775.0,106810.0,106810.0,35190
2023-08-21,106810.0,106825.0,106805.0,106810.0,106810.0,1962207
2023-08-22,106810.0,106830.0,106805.0,106825.0,106825.0,2476096
2023-08-23,106825.0,106830.0,106815.0,106825.0,106825.0,1826777
2023-08-24,106835.0,106865.0,106835.0,106845.0,106845.0,3040333
2023-08-25,106865.0,106870.0,106855.0,106865.0,106865.0,409495
2023-08-28,106860.0,106880.0,106845.0,106880.0,106880.0,2211205
2023-08-29,106875.0,106885.0,106870.0,106875.0,106875.0,427050
2023-08-30,106885.0,106910.0,106885.0,106905.0,106905.0,1317467
2023-08-31,106915.0,106945.0,106915.0,106935.0,106935.0,1135379
2023-09-01,108010.0,108010.0,106935.0,106945.0,106945.0,24029
2023-09-04,106940.0,106950.0,106935.0,106940.0,106940.0,584395
2023-09-05,106945.0,106965.0,106945.0,106960.0,106960.0,257935
2023-09-06,106950.0,106950.0,106940.0,106945.0,106945.0,382696
2023-09-07,106960.0,106970.0,106955.0,106965.0,106965.0,144779
2023-09-08,106970.0,106995.0,106970.0,106990.0,106990.0,45604
2023-09-11,106995.0,106995.0,106970.0,106995.0,106995.0,1381524
2023-09-12,106995.0,106995.0,106980.0,106985.0,106985.0,829836
2023-09-13,106990.0,107005.0,106990.0,106995.0,106995.0,235250
2023-09-14,107035.0,107040.0,107015.0,107035.0,107035.0,1410001
2023-09-15,107035.0,107045.0,107025.0,107030.0,107030.0,85900
2023-09-18,107035.0,107045.0,107030.0,107045.0,107045.0,584175
2023-09-19,107035.0,107050.0,107035.0,107040.0,107040.0,249264
2023-09-20,107060.0,107060.0,107045.0,107050.0,107050.0,7697
2023-09-21,107070.0,107090.0,107070.0,107090.0,107090.0,467123
2023-09-22,107075.0,107090.0,107075.0,107080.0,107080.0,1815142
2023-09-25,107110.0,107125.0,107110.0,107115.0,107115.0,641351
2023-09-26,107115.0,107195.0,107115.0,107190.0,107190.0,52286
2023-09-27,107200.0,110000.0,107185.0,107225.0,107225.0,117614
2023-10-04,107200.0,107220.0,107185.0,107185.0,107185.0,31816
2023-10-05,107185.0,107270.0,107180.0,107250.0,107250.0,1266778
2023-10-06,105740.0,107265.0,105725.0,107240.0,107240.0,42298
2023-10-10,107265.0,107280.0,107265.0,107275.0,107275.0,43898
2023-10-11,107280.0,107285.0,107260.0,107270.0,107270.0,103890
2023-10-12,107300.0,107315.0,107300.0,107305.0,107305.0,33835
2023-10-13,107325.0,107340.0,107315.0,107330.0,107330.0,17103
2023-10-16,107335.0,107340.0,107325.0,107335.0,107335.0,9302
2023-10-17,107350.0,107360.0,107350.0,107350.0,107350.0,10532
2023-10-18,107360.0,107380.0,107360.0,107365.0,107365.0,14902
2023-10-19,107385.0,107395.0,107385.0,107390.0,107390.0,13124
2023-10-20,107375.0,107420.0,107375.0,107410.0,107410.0,12652
2023-10-23,107415.0,107420.0,107410.0,107410.0,107410.0,5428
2023-10-24,107420.0,107430.0,107420.0,107425.0,107425.0,7923
2023-10-25,107430.0,107430.0,107425.0,107430.0,107430.0,17134
2023-10-26,107425.0,107450.0,107425.0,107440.0,107440.0,9971
2023-10-27,107465.0,107475.0,107455.0,107470.0,107470.0,6054
2023-10-30,107485.0,107485.0,107460.0,107465.0,107465.0,8844
2023-10-31,107475.0,107490.0,107470.0,107470.0,107470.0,4475
2023-11-01,107465.0,107495.0,107465.0,107480.0,107480.0,9530
2023-11-02,107480.0,107545.0,107470.0,107525.0,107525.0,3957
2023-11-03,107515.0,107550.0,107510.0,107545.0,107545.0,4305
2023-11-06,107545.0,107570.0,107545.0,107555.0,107555.0,12540
2023-11-07,107560.0,107575.0,107560.0,107570.0,107570.0,3590
2023-11-08,107570.0,107585.0,107570.0,107575.0,107575.0,3782
2023-11-09,107580.0,107605.0,107575.0,107600.0,107600.0,3852
2023-11-10,107610.0,107625.0,107610.0,107615.0,107615.0,18217
2023-11-13,107045.0,107625.0,107045.0,107615.0,107615.0,13011
2023-11-14,107620.0,107635.0,107620.0,107635.0,107635.0,2331
2023-11-15,107640.0,107670.0,107640.0,107660.0,107660.0,52727
2023-11-16,107660.0,107700.0,107660.0,107695.0,107695.0,9137
2023-11-17,107700.0,107730.0,107700.0,107730.0,107730.0,15866
2023-11-20,107710.0,107725.0,107710.0,107725.0,107725.0,5763
2023-11-21,107710.0,107745.0,107710.0,107730.0,107730.0,21478
2023-11-22,107735.0,107750.0,107735.0,107740.0,107740.0,71821
2023-11-23,107740.0,107775.0,107740.0,107770.0,107770.0,6832
2023-11-24,107775.0,107785.0,107775.0,107785.0,107785.0,202802
2023-11-27,107780.0,107795.0,107780.0,107790.0,107790.0,7576
2023-11-28,107795.0,107815.0,107795.0,107805.0,107805.0,23672
2023-11-29,107805.0,107850.0,107805.0,107835.0,107835.0,27830
2023-11-30,107845.0,107890.0,107845.0,107875.0,107875.0,9158
2023-12-01,107875.0,107890.0,107875.0,107880.0,107880.0,9204
2023-12-04,107885.0,107925.0,107885.0,107920.0,107920.0,8219
2023-12-05,107925.0,107940.0,107920.0,107940.0,107940.0,9910
2023-12-06,107945.0,107960.0,107935.0,107945.0,107945.0,9157
2023-12-07,107965.0,107985.0,107960.0,107960.0,107960.0,10808
2023-12-08,107970.0,107990.0,107965.0,107985.0,107985.0,7608
2023-12-11,107990.0,108000.0,107980.0,107995.0,107995.0,14966
2023-12-12,108000.0,108010.0,107995.0,107995.0,107995.0,11090
2023-12-13,108020.0,108020.0,108005.0,108020.0,108020.0,12813
2023-12-14,108015.0,108105.0,108005.0,108100.0,108100.0,18022
2023-12-15,108100.0,108125.0,108100.0,108115.0,108115.0,11802
2023-12-18,108125.0,108135.0,108120.0,108120.0,108120.0,6260
2023-12-19,108135.0,108145.0,108130.0,108130.0,108130.0,13276
2023-12-20,108140.0,108155.0,108135.0,108150.0,108150.0,16885
2023-12-21,108140.0,108190.0,108045.0,108185.0,108185.0,27933
2023-12-22,108160.0,108195.0,108160.0,108195.0,108195.0,14987
2023-12-26,108200.0,108210.0,108200.0,108200.0,108200.0,70055
2023-12-27,108245.0,108250.0,108240.0,108245.0,108245.0,10239
2023-12-28,108210.0,108255.0,108210.0,108255.0,108255.0,17782
2024-01-02,108285.0,108300.0,108285.0,108295.0,108295.0,25117
2024-01-03,108290.0,108305.0,108285.0,108295.0,108295.0,60620
2024-01-04,108295.0,108325.0,108295.0,108325.0,108325.0,13970
2024-01-05,108315.0,108345.0,108315.0,108340.0,108340.0,20686
2024-01-08,108340.0,108355.0,108340.0,108350.0,108350.0,13005
2024-01-09,108365.0,108380.0,108360.0,108365.0,108365.0,60336
2024-01-10,108370.0,108385.0,108370.0,108385.0,108385.0,13721
2024-01-11,108385.0,108420.0,108385.0,108420.0,108420.0,11995
2024-01-12,108425.0,108435.0,108420.0,108435.0,108435.0,22870
2024-01-15,108425.0,108470.0,108425.0,108470.0,108470.0,16520
2024-01-16,108450.0,108465.0,108400.0,108460.0,108460.0,14356
2024-01-17,108450.0,108470.0,108450.0,108465.0,108465.0,41567
2024-01-19,108480.0,108510.0,108480.0,108495.0,108495.0,6905
2024-01-22,108505.0,108525.0,108505.0,108520.0,108520.0,18210
2024-01-23,108520.0,108530.0,108520.0,108530.0,108530.0,4559
2024-01-24,108530.0,108540.0,108530.0,108540.0,108540.0,15958
2024-01-25,108545.0,108570.0,108545.0,108565.0,108565.0,5114
2024-01-26,108565.0,108575.0,108565.0,108570.0,108570.0,10492
2024-01-29,108575.0,108585.0,108575.0,108575.0,108575.0,10332
2024-01-30,108580.0,108590.0,107490.0,108070.0,108070.0,8266
2024-01-31,108580.0,108630.0,108580.0,108605.0,108605.0,101919
2024-02-01,108590.0,108635.0,108590.0,108635.0,108635.0,18026
2024-02-02,108635.0,108635.0,108620.0,108630.0,108630.0,8787
2024-02-05,108635.0,108650.0,108635.0,108650.0,108650.0,8890
2024-02-06,108645.0,108645.0,108630.0,108635.0,108635.0,6537
2024-02-07,108635.0,108690.0,108635.0,108675.0,108675.0,10816
2024-02-08,108650.0,108695.0,108650.0,108695.0,108695.0,4482
2024-02-13,108685.0,108715.0,108685.0,108715.0,108715.0,4599
